Day fraction since midnight on 	pH probe (pH)
0.637271259	6.440643311
0.637282852	6.486110687
0.637294417	6.437405586
0.637305981	6.473021984
0.637317588	6.478095532
0.637329121	6.461854458
0.637340712	6.45070076
0.637352271	6.463114739
0.637363851	6.44138813
0.637375427	6.484315395
0.637386997	6.450191021
0.637398587	6.453064919
0.637410178	6.422549248
0.637421718	6.46145916
0.637433297	6.444233418
0.637444878	6.454342842
0.637456448	6.436085224
0.637468007	6.44314909
0.637479596	6.429062843
0.63749117	6.434244633
0.637502762	6.446732044
0.637514333	6.437081337
0.637525904	6.412960053
0.637537458	6.431594849
0.637549039	6.452299595
0.637560627	6.43001318
0.637572182	6.435381413
0.637583748	6.407463551
0.637595353	6.434323311
0.637606903	6.457056046
0.637618488	6.423805714
0.637630044	6.413673401
0.637641645	6.419510841
0.637653214	6.397770405
0.637664785	6.438761711
0.637676356	6.427549362
0.637687936	6.398771286
0.637699507	6.403338909
0.637711066	6.418515682
0.637722653	6.417401314
0.637734234	6.40963316
0.637745804	6.37394762
0.637757386	6.402398586
0.637768962	6.38777113
0.637780538	6.389146328
0.637792101	6.378736019
0.637803669	6.405066967
0.637815235	6.350208759
0.637826805	6.378351688
0.637838407	6.376875877
0.637849971	6.378278256
0.637861539	6.354919434
0.637873116	6.385214329
0.637884703	6.349086762
0.637896262	6.386491776
0.637907833	6.356010437
0.6379194	6.357859612
0.637931002	6.355563164
0.637942561	6.336881161
0.63795415	6.343173504
0.63796569	6.353492737
0.63797731	6.316889286
0.637988872	6.346704006
0.638000419	6.327431679
0.638012017	6.331752777
0.638023562	6.328035355
0.638035153	6.333778858
0.638046743	6.293477058
0.638058315	6.321824551
0.638069891	6.329725266
0.638081454	6.303016663
0.638093027	6.296741486
0.638104583	6.283889771
0.638116185	6.304518223
0.638127735	6.282571793
0.63813931	6.294063568
0.638150885	6.285315037
0.638162455	6.27495575
0.638174033	6.258006573
0.638185607	6.31785965
0.638197195	6.288122654
0.638208764	6.252946377
0.638220324	6.260015488
0.638231926	6.284198761
0.638243494	6.27758646
0.638255064	6.267552376
0.638266634	6.254873276
0.638278214	6.256819725
0.638289779	6.240661621
0.638301349	6.263431072
0.638312943	6.250603676
0.638324515	6.244580269
0.638336079	6.221092224
0.63834764	6.268357754
0.63835923	6.240660191
0.638370801	6.273742199
0.63838239	6.225664616
0.638393954	6.248991489
0.638405519	6.226049423
0.638417084	6.275757313
0.638428689	6.243708134
0.638440268	6.257019043
0.638451835	6.229537964
0.63846339	6.265487194
0.638474971	6.242712975
0.638486543	6.247041225
0.638498104	6.236441135
0.6385097	6.245995998
0.63852125	6.226748943
0.638532828	6.245392323
0.638544421	6.265469074
0.638555982	6.251908779
0.638567552	6.225146294
0.638579119	6.231894493
0.6385907	6.257779598
0.638602284	6.267927647
0.63861386	6.230998516
0.638625418	6.228904724
0.63863701	6.240128517
0.63864857	6.24625349
0.638660138	6.222487927
0.638671733	6.237177849
0.638683303	6.211405277
0.638694861	6.235714912
0.638706445	6.238224506
0.638718011	6.238008976
0.638729624	6.221247196
0.638741168	6.219336033
0.638752745	6.211816311
0.638764325	6.250043869
0.638775897	6.236821652
0.638787453	6.203036308
0.63879906	6.229928017
0.638810625	6.222862721
0.638822206	6.217792511
0.638833752	6.214681149
0.638845326	6.228795528
0.638856899	6.198357105
0.638868494	6.223265648
0.638880048	6.198773384
0.638891626	6.235386848
0.638903209	6.21372509
0.638914773	6.196270466
0.638926375	6.203873158
0.63893793	6.216499806
0.63894949	6.206189156
0.638961108	6.223498821
0.638972663	6.1908741
0.638984225	6.203007221
0.638995787	6.195100784
0.639007368	6.214699268
0.639018951	6.197084904
0.639030508	6.189543724
0.639042115	6.167623043
0.639053685	6.208072186
0.639065252	6.175492287
0.639076805	6.171288967
0.639088397	6.157602787
0.639099962	6.156257629
0.639111531	6.140914917
0.639123122	6.159545422
0.639134683	6.138377667
0.639146254	6.134124279
0.639157822	6.142375469
0.639169422	6.125874996
0.639180998	6.149103642
0.639192564	6.122694016
0.639204147	6.107153893
0.639215696	6.122550964
0.639227266	6.125899792
0.639238853	6.107720852
0.639250433	6.115830421
0.63926199	6.084251881
0.639273566	6.091743946
0.639285158	6.113142014
0.639296723	6.096955776
0.6393083	6.093665123
0.639319867	6.096418381
0.639331448	6.077738762
0.639343014	6.130909443
0.639354598	6.087792873
0.639366177	6.098693848
0.639377733	6.093605518
0.639389336	6.097699642
0.639400896	6.082079887
0.639412455	6.117574215
0.63942403	6.060685635
0.639435618	6.084433556
0.639447189	6.075779915
0.639458756	6.101149082
0.639470345	6.07376051
0.639481928	6.074719429
0.639493492	6.054142952
0.639505066	6.07709837
0.639516628	6.058941841
0.639528194	6.089337349
0.639539776	6.047950745
0.639551374	6.059783936
0.639562921	6.045670033
0.639574521	6.084354878
0.639586082	6.038815498
0.639597679	6.073615074
0.639609257	6.037314415
0.639620795	6.042750359
0.639632394	6.086807251
0.639643953	6.046886444
0.639655527	6.03643322
0.639667103	6.037988663
0.639678684	6.039441109
0.639690258	6.05328083
0.639701846	6.039134026
0.639713405	6.042792797
0.639724986	6.023868561
0.63973656	6.039010048
0.639748127	6.057853222
0.639759701	6.046607971
0.639771252	6.019381046
0.639782834	6.026603699
0.639794394	6.050156117
0.639805991	6.038271427
0.639817566	6.062834263
0.639829138	6.033745289
0.639840696	6.02940321
0.639852267	6.059093952
0.63986386	6.066717625
0.639875456	6.035498619
0.639887013	6.053463936
0.639898579	6.02694273
0.639910161	6.057509899
0.639921742	6.062188149
0.6399333	6.046116829
0.639944904	6.03275919
0.639956443	6.048601627
0.639968033	6.018226147
0.639979595	6.068601131
0.639991182	6.027210236
0.640002773	6.027941227
0.640014306	6.014614582
0.640025884	6.043513298
0.640037486	6.01877594
0.640049049	6.042835712
0.640060622	5.999547958
0.640072183	6.031132221
0.640083765	6.008905888
0.640095342	6.02294445
0.640106898	6.005234242
0.640118474	6.0015378
0.640130052	5.988048077
0.640141632	6.004865646
0.640153225	6.005687714
0.640164796	5.973145962
0.640176341	5.980951309
0.64018792	5.965091705
0.64019952	5.984144688
0.640211069	5.995956421
0.64022265	5.962748528
0.640234228	5.980232716
0.640245806	5.944447517
0.640257387	5.97949791
0.640268955	5.952521324
0.640280547	5.924586773
0.640292082	5.927854538
0.640303658	5.935186863
0.640315244	5.924663067
0.64032682	5.935290337
0.64033838	5.908479691
0.640349973	5.902602196
0.64036156	5.928450584
0.640373107	5.918558121
0.640384689	5.911665916
0.640396278	5.891893387
0.640407832	5.892194748
0.64041941	5.922464848
0.640430986	5.917051315
0.640442555	5.885651112
0.640454138	5.905478478
0.640465693	5.87812233
0.640477286	5.91425705
0.640488847	5.894330502
0.640500438	5.880474091
0.640512	5.85262537
0.640523579	5.880309582
0.640535166	5.864857197
0.64054673	5.889726162
0.6405583	5.828704834
0.640569903	5.859528542
0.640581435	5.824607372
0.640593021	5.825270176
0.640604596	5.821307182
0.640616159	5.811806202
0.640627752	5.778173924
0.640639335	5.807931423
0.640650891	5.803202152
0.64066248	5.794951439
0.640674043	5.792677879
0.640685603	5.772931576
0.640697196	5.782846928
0.640708777	5.812872887
0.640720323	5.765464783
0.640731919	5.765089035
0.640743485	5.789382935
0.640755071	5.777913094
0.640766634	5.82316494
0.640778194	5.797726154
0.640789794	5.779979706
0.640801342	5.779384136
0.640812918	5.797648907
0.6408245	5.790450573
0.640836084	5.798734665
0.640847682	5.770223141
0.640859233	5.790005684
0.640870805	5.802733898
0.640882375	5.797042847
0.640893947	5.807228565
0.640905541	5.786980152
0.640917098	5.775127411
0.640928679	5.830572128
0.640940241	5.783954144
0.640951848	5.827828407
0.640963382	5.776340008
0.640974958	5.821125507
0.640986537	5.785895824
0.640998104	5.820376396
0.641009707	5.786875248
0.641021271	5.782604694
0.641032827	5.776631355
0.641044398	5.815075874
0.641055994	5.788207531
0.641067553	5.799536705
0.641079141	5.769189835
0.641090703	5.797842979
0.64110229	5.763410091
0.64111387	5.774741173
0.641125416	5.769639492
0.641137007	5.755364418
0.641148587	5.780221462
0.641160143	5.783054829
0.641171738	5.750518799
0.641183304	5.76597929
0.641194883	5.724949837
0.641206443	5.743345261
0.641218022	5.763751507
0.641229594	5.725402832
0.641241173	5.709274769
0.641252734	5.716365814
0.641264322	5.687512875
0.641275893	5.727655411
0.641287484	5.71232748
0.641299029	5.693615913
0.641310615	5.714158535
0.641322182	5.715445042
0.641333776	5.701646328
0.641345342	5.711855412
0.64135691	5.714413166
0.641368493	5.690150261
0.641380066	5.71932745
0.641391635	5.707763195
0.641403203	5.698405266
0.641414786	5.681325913
0.641426345	5.694489002
0.64143796	5.703830242
0.641449494	5.713210583
0.641461095	5.676357746
0.641472643	5.708088875
0.641484215	5.657572746
0.641495787	5.705442905
0.641507393	5.669796944
0.641518948	5.681127548
0.641530533	5.64564991
0.641542107	5.682602882
0.641553657	5.659143925
0.64156525	5.684341431
0.641576822	5.632591724
0.641588391	5.64363718
0.641599975	5.645182133
0.641611529	5.647079945
0.64162311	5.632602692
0.641634684	5.637383938
0.641646251	5.598149777
0.641657853	5.643436909
0.641669397	5.643904686
0.641680976	5.610646248
0.641692559	5.609093666
0.641704148	5.609866142
0.641715714	5.599785805
0.641727281	5.633862495
0.64173886	5.574083328
0.641750444	5.600147724
0.641762032	5.592466831
0.641773579	5.581445694
0.641785157	5.623158455
0.641796716	5.596040249
0.641808294	5.567050457
0.641819874	5.565850258
0.641831438	5.586990833
0.641843025	5.578939915
0.641854614	5.590798378
0.641866159	5.543589592
0.641877737	5.56086874
0.641889318	5.573771
0.641900889	5.55325079
0.641912474	5.529155254
0.641924054	5.515452385
0.641935603	5.532813072
0.641947177	5.556283951
0.641958771	5.51412344
0.641970341	5.50436163
0.641981927	5.499004841
0.641993491	5.504270554
0.642005064	5.501785278
0.642016623	5.510502815
0.642028216	5.418615818
0.642039802	5.440434456
0.642051346	5.433185101
0.642062923	5.651990891
0.642074492	5.76907301
0.642086087	5.797122955
0.642097665	5.780375958
0.642109232	5.837001324
0.64212081	5.790315151
0.642132385	5.740632534
0.64214395	5.659692287
0.642155532	5.676755905
0.642167089	5.611889362
0.642178663	5.612324715
0.642190261	5.579937935
0.642201836	5.572068691
0.642213412	5.530073643
0.642224969	5.51657629
0.642236531	5.444358349
0.642248134	5.41857338
0.642259676	5.390610218
0.642271251	5.370451927
0.642282824	5.3309412
0.642294402	5.319316864
0.642305976	5.28946352
0.642317574	5.287855625
0.642329154	5.282262325
0.642340702	5.283415794
0.642352284	5.250908852
0.642363862	5.258984566
0.642375437	5.227569103
0.642387007	5.249629974
0.642398574	5.210016251
0.642410165	5.202821732
0.642421739	5.181619644
0.642433301	5.180888176
0.642444868	5.175630093
0.64245645	5.17988348
0.642468012	5.157841206
0.642479583	5.169850349
0.64249117	5.164998531
0.642502755	5.161787033
0.642514336	5.154276371
0.642525902	5.147922516
0.642537454	5.146209717
0.642549058	5.140023232
0.642560634	5.137129784
0.642572198	5.131637573
0.642583751	5.118257999
0.642595344	5.107758045
0.64260692	5.112228394
0.642618489	5.109756947
0.642630048	5.10960722
0.642641628	5.101312161
0.642653208	5.086084366
0.642664781	5.042406082
0.642676344	5.020767212
0.64268794	4.993010521
0.642699522	4.98519659
0.642711074	4.959398747
0.642722643	4.958464146
0.642734214	4.933514595
0.642745806	4.919667721
0.642757367	4.867243767
0.642768963	4.765777588
0.642780511	4.816663265
0.642792105	4.83792448
0.642803666	4.815123081
0.642815257	4.830111504
0.642826837	4.802353859
0.6428384	4.810782433
0.642849974	4.765249729
0.642861529	4.776914597
0.642873106	4.747112274
0.642884706	4.772422314
0.642896277	4.748215199
0.642907857	4.771689415
0.642919419	4.73693943
0.642930975	4.751785278
0.642942571	4.725713253
0.642954149	4.738594532
0.642965717	4.709952354
0.642977286	4.710952282
0.642988859	4.693416596
0.643000422	4.697572231
0.643011996	4.675652504
0.643023582	4.684682846
0.643035168	4.657597065
0.643046713	4.653375626
0.643058313	4.64739275
0.643069883	4.644582748
0.643081455	4.630861759
0.64309304	4.614350319
0.643104599	4.585838318
0.643116158	4.565380096
0.643127738	4.540554524
0.643139335	4.509070396
0.643150882	4.498460293
0.643162479	4.474933624
0.643174062	4.473036289
0.64318562	4.454679012
0.643197205	4.451517582
0.643208782	4.42692852
0.643220338	4.433695316
0.643231906	4.412867546
0.643243473	4.425669193
0.643255068	4.410454273
0.643266635	4.422720432
0.64327824	4.402134895
0.643289802	4.402538776
0.643301363	4.314558983
0.643312917	4.283668518
0.643324492	4.239012718
0.643336094	4.241094589
0.643347661	4.205456257
0.643359227	4.213659287
0.643370796	4.184160709
0.643382362	4.254821777
0.643393951	4.204248905
0.643405524	4.222604275
0.643417086	4.183718681
0.64342868	4.158895969
0.643440247	4.162995338
0.643451839	4.14119339
0.6434634	4.135914803
0.643474971	4.12882185
0.643486529	4.094943047
0.643498123	4.097648621
0.643509702	4.098644733
0.643521252	4.094933987
0.643532837	4.087993145
0.64354442	4.054327011
0.643555975	4.054246903
0.643567553	4.065196991
0.643579142	4.039719105
0.64359072	4.018509865
0.643602291	4.026927948
0.643613858	3.995543003
0.643625448	4.047793865
0.64363702	4.017213821
0.643648589	4.014090061
0.643660144	4.003615379
0.643671741	4.01773262
0.64368331	4.015199184
0.643694904	4.042729378
0.643706463	3.996089935
0.643718014	4.012242317
0.643729591	4.023929596
0.643741166	4.022601128
0.643752752	4.019918919
0.643764307	3.997992992
0.643775895	3.978632927
0.643787465	4.010729313
0.643799031	3.970020056
0.643810605	3.951758146
0.643822207	3.917336226
0.643833771	3.92867136
0.643845331	3.929486752
0.643856919	3.946030617
0.643868485	3.948768854
0.643880076	3.937557459
0.643891644	3.9158535
0.643903228	3.953199148
0.643914787	3.951751947
0.643926387	3.949968576
0.643937939	3.927113533
0.643949492	3.946486235
0.643961086	3.953064442
0.643972645	3.971802473
0.643984236	3.951544523
0.643995807	3.961061716
0.644007377	3.948622942
0.644018952	3.984673262
0.644030545	3.959742785
0.644042107	3.95853138
0.644053677	3.929072857
